FECHA	CLIENTE	GASTO ADS	CUENTA META	ID CUENTA	FUENTE
2026-05-01	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	DOS HOGARES	237.80	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	DOS HOGARES	237.86	IIHogares GDL CP	act_2175146543225091	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-01	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	GRUPO ELIJO	299.10	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	GRUPO ELIJO	299.13	GRUPO ELIJO CP	act_864948876563125	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-01	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	HOGARES	437.66	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	HOGARES	437.69	CInmubles Bajio	act_349294690945338	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-01	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	INQ	590.66	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	INQ	590.68	inq inmobiliaria cp	act_1584938395981836	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-01	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	INSPIRA	290.07	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	INSPIRA	290.16	Inspira Bienes Raices CP	act_949679304398951	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-01	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-02	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-03	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-04	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-05	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-06	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-07	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-08	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-09	MANOS AL HOGAR	741.71	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
2026-05-10	MANOS AL HOGAR	741.76	Manos al hogar Publicidad	act_1581946449839805	Meta Ads confirmado 01-10 mayo 2026 · prorrateo diario
